"release_year","movies","shows"
"1945","0","1"
"1954","2","0"
"1956","1","0"
"1958","1","0"
"1959","1","0"
"1960","1","0"
"1961","1","0"
"1963","1","0"
"1966","1","0"
"1967","2","0"
"1969","1","1"
"1971","1","0"
"1972","2","1"
"1973","1","0"
"1974","1","0"
"1975","2","0"
"1976","3","0"
"1977","1","0"
"1978","1","0"
"1979","5","0"
"1980","3","0"
"1981","2","1"
"1982","5","1"
"1983","3","1"
"1984","5","1"
"1985","1","0"
"1986","4","0"
"1987","5","1"
"1988","6","1"
"1989","9","3"
"1990","7","0"
"1991","11","2"
"1992","2","1"
"1993","12","2"
"1994","12","4"
"1995","8","2"
"1996","5","2"
"1997","14","2"
"1998","17","5"
"1999","10","3"
"2000","6","5"
"2001","14","6"
"2002","13","9"
"2003","22","9"
"2004","31","7"
"2005","22","10"
"2006","32","13"
"2007","38","10"
"2008","47","16"
"2009","40","19"
"2010","47","19"
"2011","60","26"
"2012","76","31"
"2013","100","35"
"2014","109","44"
"2015","134","89"
"2016","228","134"
"2017","384","179"
"2018","473","300"
"2019","525","311"
"2020","500","314"
"2021","473","314"
"2022","200","171"
